library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
MSM79HA3_M2042C22_MBX	MSM79HA3	metabolomics			MSM79HA3_M2042C22_MBX
MSM6J2PO_M2047C1_MBX	MSM6J2PO	metabolomics			MSM6J2PO_M2047C1_MBX
MSM6J2PU_M2047C4_MBX	MSM6J2PU	metabolomics			MSM6J2PU_M2047C4_MBX
MSM79HC8_M2047C11_MBX	MSM79HC8	metabolomics			MSM79HC8_M2047C11_MBX
MSM79H7Q_M2047C14_MBX	MSM79H7Q	metabolomics			MSM79H7Q_M2047C14_MBX
MSM79H7Y_M2047C19_MBX	MSM79H7Y	metabolomics			MSM79H7Y_M2047C19_MBX
MSM9VZNL_M2047C22_MBX	MSM9VZNL	metabolomics			MSM9VZNL_M2047C22_MBX
MSM6J2Q1_M2048C1_MBX	MSM6J2Q1	metabolomics			MSM6J2Q1_M2048C1_MBX
MSM6J2M3_M2048C5_MBX	MSM6J2M3	metabolomics			MSM6J2M3_M2048C5_MBX
MSM79H6Y_M2048C15_MBX	MSM79H6Y	metabolomics			MSM79H6Y_M2048C15_MBX
MSM79H52_M2060C2_MBX	MSM79H52	metabolomics			MSM79H52_M2060C2_MBX
MSM79H9G_M2060C12_MBX	MSM79H9G	metabolomics			MSM79H9G_M2060C12_MBX
MSM9VZF7_M2060C14_MBX	MSM9VZF7	metabolomics			MSM9VZF7_M2060C14_MBX
MSM9VZPV_M2060C21_MBX	MSM9VZPV	metabolomics			MSM9VZPV_M2060C21_MBX
MSM6J2NA_M2061C1_MBX	MSM6J2NA	metabolomics			MSM6J2NA_M2061C1_MBX
MSM79H5G_M2061C3_MBX	MSM79H5G	metabolomics			MSM79H5G_M2061C3_MBX
MSM79H9Q_M2061C10_MBX	MSM79H9Q	metabolomics			MSM79H9Q_M2061C10_MBX
MSM9VZGO_M2061C14_MBX	MSM9VZGO	metabolomics			MSM9VZGO_M2061C14_MBX
MSM9VZLJ_M2061C18_MBX	MSM9VZLJ	metabolomics			MSM9VZLJ_M2061C18_MBX
MSM9VZHB_M2061C21_MBX	MSM9VZHB	metabolomics			MSM9VZHB_M2061C21_MBX
MSM9VZHF_M2061C23_MBX	MSM9VZHF	metabolomics			MSM9VZHF_M2061C23_MBX
MSM79HAJ_M2064C7_MBX	MSM79HAJ	metabolomics			MSM79HAJ_M2064C7_MBX
MSM79HAN_M2064C9_MBX	MSM79HAN	metabolomics			MSM79HAN_M2064C9_MBX
MSM9VZLP_M2064C14_MBX	MSM9VZLP	metabolomics			MSM9VZLP_M2064C14_MBX
MSM9VZLV_M2064C16_MBX	MSM9VZLV	metabolomics			MSM9VZLV_M2064C16_MBX
MSMA26ET_M2064C21_MBX	MSMA26ET	metabolomics			MSMA26ET_M2064C21_MBX
MSM79HDQ_M2068C5_MBX	MSM79HDQ	metabolomics			MSM79HDQ_M2068C5_MBX
MSM9VZEK_M2068C9_MBX	MSM9VZEK	metabolomics			MSM9VZEK_M2068C9_MBX
MSM9VZES_M2068C13_MBX	MSM9VZES	metabolomics			MSM9VZES_M2068C13_MBX
MSMA26AL_M2068C20_MBX	MSMA26AL	metabolomics			MSMA26AL_M2068C20_MBX
MSM79HDA_M2069C3_MBX	MSM79HDA	metabolomics			MSM79HDA_M2069C3_MBX
MSM79HDE_M2069C5_MBX	MSM79HDE	metabolomics			MSM79HDE_M2069C5_MBX
MSM9VZEW_M2069C9_MBX	MSM9VZEW	metabolomics			MSM9VZEW_M2069C9_MBX
MSM9VZOU_M2069C15_MBX	MSM9VZOU	metabolomics			MSM9VZOU_M2069C15_MBX
MSM9VZP3_M2069C19_MBX	MSM9VZP3	metabolomics			MSM9VZP3_M2069C19_MBX
MSMA26EJ_M2069C21_MBX	MSMA26EJ	metabolomics			MSMA26EJ_M2069C21_MBX
MSM79HD6_M2071C1_MBX	MSM79HD6	metabolomics			MSM79HD6_M2071C1_MBX
MSM79H7M_M2071C4_MBX	MSM79H7M	metabolomics			MSM79H7M_M2071C4_MBX
MSM79H7G_M2071C6_MBX	MSM79H7G	metabolomics			MSM79H7G_M2071C6_MBX
MSMA26AZ_M2071C8_MBX	MSMA26AZ	metabolomics			MSMA26AZ_M2071C8_MBX
